,이름,내용,이동번호,멀티챕터,싱글챕터,퀴즈,비고
1,,누군가와 마주쳤습니다.,Start,,,AR2C1_Q1,AR2C1
2,하녀,아@ 새로 오신 아이란 아가씨 맞으시죠?,,Maid_Basic,,,
3,,주인공 이름이 ⓑ아이란ⓦ이라는\n정보를 얻었습니다.,,,,,
4,아이란,....,,AR_Childhood,,,
5,하녀,오시는 동안 불편한 곳은 없으셨나요?\n오늘 처음이라 많이 불편하시겠어요!,,Maid_Basic,,,
6,,오늘이 ⓑ처음 이 저택에 온 날ⓦ이라는\n정보를 얻었습니다.,,,,,
7,하녀,제가 앞으로 열심히 도울게요!\n저는 앞으로 아가씨 방을 담당할 첼리예요.,,Maid_Smile,,,
8,첼리,짐도 금방 가져다드릴게요!,,Maid_Smile,,,
9,아이란,ⓘ일단 방에서 기다려야 하나...ⓦ,,AR_Childhood,,,
10,선택지1개,방으로 돌아가기,,,AR2C1_방,,
11,,카펫 아래를 살펴봅니다.,,,AR2C1_Clover2,,
12,,ⓑ트럼프 카드 클로버 2ⓦ를 얻었습니다.,,,AR2C1_C2Add,,
13,,바닥에서 굴러다니는\nⓑ낡은 편지봉투ⓦ를 획득했습니다!\n안에 편지는 들어있지 않네요.,,,AR2C1_Letter,,
14,아이란,관리가 잘 안 되어 있는 곳이네...,,AR_Childhood,AR2C1_Spade5,,
15,,ⓑ트럼프 카드 스페이드 5ⓦ를 얻었습니다.,,,AR2C1_S5Add,,
16,,창문 밖 주변 풍경이 한 눈에 보입니다.,,,AR2C1_BackBtn,,
17,,자물쇠가 걸린 책장을 발견했습니다.,,,,AR2C1_Q3,
18,아이란,ⓑ열쇠ⓦ가 필요하네.,,AR_Childhood,AR2C1_BackBtn,,
19,,열쇠가 없습니다.\n책장 문을 열 수 없습니다.,,,AR2C1_BackBtn,,
20,,열쇠를 사용하여 책장 문을 열었습니다!,,,AR2C1_OldBook,,
21,,ⓑ아주 낡은 예법서ⓦ를 얻었습니다.,,,AR2C1_OldBookAdd,,
22,,책상 앞으로 이동했습니다.,,,AR2C1_BackBtn,,
