,이름,내용,이동번호,멀티챕터,싱글챕터,퀴즈,비고
1,에르덴투야,아@ 네! 그냥 양 돌보기만 하면 되는 거죠?,Start,,,,__ER1C1__
2,아주머니,그래@ 항상 고마워@ 투야!,,,,,
3,아주머니,배고플 때 먹으라고 고기 좀 챙겨뒀어~,,,,,
4,,ⓖ고기ⓦ를 획득했습니다.,,,ER1C1_Meat,,
5,에르덴투야,아니에요! 용돈벌이도 되고@ 저야 오히려 좋죠.,,ED_Smile,ER1C1_ItemOut,,
6,에르덴투야,ⓘ옆 동네 사는 00아주머니는@\n신전에 가실 때마다 내게 미니 양들을 맡기곤 한다.,,,,,
7,에르덴투야,ⓘ딱히 힘들 것도 없다.\n목초지 안에 양을 풀어놓고 쉬면 되는 꿀알바...!,,ED_Happy,ER1C1_Intro,,
8,,사람이 혼자 밀 수 없는\n아주 무거운 바위가 있습니다.,,,,,
9,선택지2개,그래도 밀어보기,10,Text,,,
10,,다른 곳 둘러보기,12,,,,
11,,에르덴투야는 별 어려움 없이\n바위를 밀었습니다.,,,ER1C1_RockMove,,
12,에르덴투야,보기보다 가볍네?,End,ED_Curious,ER1C1_Skill1,,
13,에르덴투야,바위는 이따 다시 보지 뭐...,End,ED_Lazy,ER1C1_BackBtn,,
14,C_Notice,바위 뒤에 숨어 있던\nⓖ검은 양ⓚ을 찾았습니다!,,,,,
15,검은 양,매애,,,ER1C1_BackBtn,,
16,,나무 덤불 사이에서 소리가 들립니다.,,,,,
17,,나무 사이 매달린 ⓖ초록 양ⓦ을 발견했습니다!,,,ER1C1_TreeExpand,,
18,에르덴투야,대체 거길 어떻게 올라간 거니...!,,ED_Sad,,,
19,초록 양,매애... ㅠㅠ,,,,,
20,C_Notice,초록 양이 무서워하고 있습니다!\n초록 양을 빨리 구출해주세요.,,,ER1C1_TreeClick,,
21,,나무 표면이 너무 까칠해서\n그냥은 올라갈 수 없습니다!,,,,,
22,에르덴투야,내 손이 약초 캐느라 거칠긴 하지만\n이건 좀 심하게 아플 것 같아...,,ED_Sad,ER1C1_BackBtn,,
23,,장갑을 착용했습니다.,,,,,
24,에르덴투야,이거면 올라갈 수 있겠다!,,,ER1C1_SheepGreenAdd,,
25,C_Notice,초록 양을 구했습니다!,,,ER1C1_BackBtn,,
26,,구름 사이에 있는 ⓖ분홍 양ⓦ을 발견했습니다!,,,,,
27,에르덴투야,양이... 하늘을 날아?,,ED_Surprised,ER1C1_BackBtn,,
28,,분홍 양과 똑같은 뒷모습의\nⓖ퐁신새ⓦ를 발견했습니다!,,,,,
29,에르덴투야,뭐야 이걸 어떻게 구분해,,ED_Surprised,,,
30,,퐁신새가 낮잠을 깨서 기분 나빠합니다!,,,ER1C1_BirdAngry,,
31,선택지2개,가서 마저 자라고 한다.,32,Text,,,
32,,퐁신새에게 부탁을 해본다.,34,,,,
33,에르덴투야,깨워서 미안해@ 마저 자.,,,,,
34,퐁신새,(ⓘ떨떠름한 표정ⓦ),30,Return,,,
35,에르덴투야,저기... 구름 사이에 있는\n양 좀 데려와줄 수 있을까?,,,,,
36,,퐁신새가 뭔가를 원하는 눈치입니다!,,,,,
37,퐁신새,(ⓘ협박하는 표정ⓦ),,,,,
38,에르덴투야,동물은 잘 모르는데...,,,ER1C1_BirdNo,,
39,선택지3개,고기를 준다.,41,Text,ER1C1_BirdNo,,
40,,꿀을 준다.,48,,,,
41,,새 모이를 준다.,51,,,,
42,,퐁신새에게 고기를 주었습니다.,,,ER1C1_BirdMeat,,
43,,퐁신새가 만족스러워합니다!,,,ER1C1_BirdBasic,,
44,에르덴투야,너 육식이야?,,,ER1C1_BirdNo,,
45,,,,,ER1C1_SheepPinkAdd,,
46,C_Notice,퐁신새가 ⓖ분홍 양ⓚ을 데려와주었습니다!,,,,,
47,분홍 양,매애?,,,,,
48,에르덴투야,고마워@ 퐁신새야!,End,,ER1C1_BackBtn,,
49,,퐁신새에게 꿀을 주었습니다.,,,ER1C1_BirdHoney,,
50,,퐁신새가 빤히 쳐다봅니다.,,,ER1C1_BirdBasic,,
51,에르덴투야,...왜 나를 멍청하다는 듯이 보는 것 같지?,38,Return,ER1C1_BirdNo,,
52,,퐁신새에게 새 모이를 주었습니다.,,,ER1C1_BirdFeed,,
53,,퐁신새가 기분 나빠하며 가버렸습니다.,,,ER1C1_BirdNo,,
54,Fail,,End,,ER1C1_BirdFeed_Return,,
55,,발자국을 따라가자@\n동굴과 호수가 나타났습니다!,,,ER1C1_CavesLakes,,
56,C_Notice,물을 마시고 있는\nⓖ파란 양ⓚ을 발견했습니다!,,,,,
57,파란 양,어푸,,,,,
58,에르덴투야,물을 마시는 거니@ 빠진 거니...,,,ER1C1_BackBtn,,
59,,ⓖ꿀ⓦ을 획득했습니다.,,,ER1C1_BackBtn,,
60,,ⓖ동굴ⓦ을 발견했습니다.,,,,,
